rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,rssi_33,rssi_34,rssi_35,rssi_36,rssi_37,rssi_38,rssi_39,rssi_40,rssi_41,rssi_42,rssi_43,rssi_44,rssi_45,rssi_46,rssi_47,rssi_48,rssi_49,rssi_50,rssi_51,rssi_52,rssi_53,rssi_54,rssi_55,rssi_56,rssi_57,rssi_58,rssi_59,rssi_60,rssi_61,rssi_62,rssi_63,rssi_64,rssi_65,rssi_66,rssi_67,rssi_68,rssi_69,rssi_70,rssi_71,rssi_72,rssi_73,rssi_74,rssi_75,rssi_76,rssi_77,rssi_78,rssi_79,rssi_80,rssi_81,rssi_82,rssi_83,rssi_84,rssi_85,rssi_86,rssi_87,rssi_88,rssi_89,rssi_90,rssi_91,rssi_92,rssi_93,rssi_94,rssi_95,rssi_96,rssi_97,rssi_98,rssi_99,x,y,floor
-46,-47,-47,-47,-47,-47,-48,-48,-49,-49,-49,-55,-57,-57,-57,-58,-58,-58,-58,-58,-59,-60,-60,-60,-61,-61,-61,-61,-61,-63,-63,-64,-65,-65,-66,-66,-66,-66,-66,-66,-67,-67,-68,-68,-68,-68,-69,-69,-69,-69,-70,-70,-70,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-72,-72,-72,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,156.77786,173.89334,0
-44,-44,-44,-44,-44,-46,-48,-49,-49,-49,-51,-51,-51,-51,-51,-52,-54,-54,-58,-58,-58,-59,-60,-61,-61,-62,-63,-63,-63,-63,-63,-63,-63,-64,-64,-64,-64,-64,-64,-65,-65,-65,-66,-66,-66,-66,-66,-66,-67,-67,-67,-67,-68,-68,-69,-69,-69,-69,-69,-69,-69,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-72,-73,-73,-73,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-75,-75,156.77786,173.89334,0
-46,-46,-46,-46,-47,-47,-50,-50,-50,-50,-50,-50,-50,-51,-51,-51,-51,-51,-52,-55,-57,-59,-61,-62,-63,-63,-63,-63,-64,-64,-64,-64,-64,-64,-64,-65,-65,-65,-66,-66,-66,-66,-66,-66,-66,-66,-66,-67,-67,-67,-67,-68,-68,-68,-69,-69,-70,-70,-70,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-72,-72,-72,-72,-73,-73,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,-75,156.77786,173.89334,0
-46,-47,-47,-47,-48,-48,-48,-51,-51,-51,-51,-51,-55,-55,-56,-56,-56,-56,-60,-60,-61,-61,-63,-63,-63,-63,-63,-64,-64,-64,-64,-64,-65,-65,-65,-65,-65,-65,-65,-66,-66,-66,-66,-66,-66,-66,-66,-67,-67,-67,-68,-68,-68,-68,-69,-69,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,160.61377,172.9683,0
-46,-47,-53,-53,-53,-53,-57,-57,-60,-60,-60,-60,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-62,-62,-62,-62,-63,-63,-63,-63,-64,-65,-65,-65,-66,-66,-66,-66,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-68,-68,-68,-68,-69,-70,-70,-70,-71,-71,-71,-72,-72,-72,-73,-73,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,160.61377,172.9683,0
-43,-43,-43,-43,-44,-46,-47,-49,-56,-56,-56,-56,-56,-56,-59,-60,-61,-63,-63,-63,-63,-63,-63,-63,-63,-64,-65,-65,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-67,-67,-67,-67,-68,-68,-68,-69,-69,-69,-70,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-72,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-75,-75,-75,-75,160.61377,172.9683,0
-46,-47,-47,-47,-47,-47,-48,-55,-55,-56,-56,-56,-58,-59,-60,-60,-61,-62,-62,-62,-62,-63,-63,-63,-63,-63,-63,-63,-64,-64,-64,-64,-64,-64,-65,-65,-66,-66,-66,-66,-66,-66,-66,-66,-67,-67,-67,-67,-67,-67,-67,-68,-68,-68,-68,-68,-69,-69,-69,-69,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,160.61377,172.9683,0
-45,-45,-45,-46,-46,-47,-47,-57,-57,-57,-57,-58,-60,-60,-61,-61,-61,-61,-61,-62,-62,-62,-62,-63,-63,-63,-63,-64,-64,-65,-65,-65,-65,-65,-65,-65,-66,-66,-66,-66,-66,-66,-67,-67,-67,-67,-67,-67,-67,-67,-68,-68,-68,-68,-68,-69,-69,-69,-69,-69,-69,-69,-70,-70,-70,-70,-70,-70,-71,-71,-71,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-76,-76,-76,154.9924,166.00981,0
-46,-47,-54,-55,-55,-56,-56,-56,-57,-59,-59,-59,-59,-60,-60,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-62,-62,-62,-62,-63,-63,-63,-63,-63,-65,-65,-65,-65,-65,-65,-66,-66,-66,-66,-66,-66,-66,-67,-67,-68,-69,-69,-70,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,-76,-76,-76,-76,-77,-77,154.9924,166.00981,0
-40,-40,-41,-41,-43,-43,-43,-45,-46,-46,-46,-47,-49,-51,-51,-51,-51,-51,-51,-52,-52,-53,-53,-53,-53,-54,-55,-55,-58,-58,-58,-58,-58,-59,-59,-59,-60,-60,-61,-61,-61,-61,-61,-62,-62,-62,-62,-63,-63,-63,-63,-64,-64,-65,-65,-66,-67,-69,-69,-70,-71,-72,-72,-72,-72,-72,-73,-73,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,-76,-77,-78,-78,-78,-78,-79,-79,-79,-79,69.43702,183.17911,0
-36,-41,-42,-43,-43,-43,-43,-43,-43,-45,-46,-47,-50,-51,-51,-51,-52,-53,-54,-55,-55,-55,-55,-55,-55,-56,-56,-57,-57,-57,-57,-58,-59,-60,-60,-61,-62,-62,-62,-63,-63,-63,-63,-63,-63,-63,-63,-63,-64,-64,-64,-64,-64,-64,-67,-69,-69,-69,-71,-71,-71,-71,-71,-72,-73,-73,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-74,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,-77,-78,-78,-78,-78,-79,-79,-79,-79,-79,68.407646,177.94244,0
-41,-43,-45,-45,-46,-48,-48,-50,-51,-51,-51,-52,-53,-53,-53,-53,-54,-54,-55,-56,-56,-56,-56,-56,-56,-56,-57,-57,-58,-60,-61,-61,-62,-62,-62,-62,-63,-63,-63,-63,-63,-64,-64,-64,-64,-64,-65,-65,-65,-65,-65,-66,-67,-67,-67,-69,-71,-71,-71,-71,-72,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-74,-75,-75,-75,-76,-76,-76,-76,-76,-77,-77,-77,-78,-78,-78,-78,-79,-79,-79,-79,-79,-80,-80,-81,-81,-82,-82,68.407646,177.94244,0
-41,-43,-44,-46,-46,-47,-47,-48,-48,-48,-49,-49,-50,-50,-53,-53,-53,-54,-54,-54,-54,-55,-55,-55,-55,-56,-56,-56,-56,-56,-56,-56,-57,-57,-59,-61,-62,-62,-62,-62,-62,-62,-62,-62,-63,-63,-63,-63,-64,-64,-65,-65,-65,-67,-68,-68,-69,-70,-71,-71,-71,-71,-72,-72,-73,-73,-73,-74,-74,-74,-74,-74,-75,-75,-76,-76,-77,-77,-77,-77,-77,-77,-77,-78,-78,-78,-78,-79,-79,-79,-79,-79,-79,-79,-80,-80,-80,-81,-81,-81,68.407646,177.94244,0
-41,-44,-46,-47,-47,-48,-48,-48,-48,-48,-48,-49,-49,-50,-50,-50,-51,-51,-52,-53,-55,-55,-55,-55,-56,-56,-58,-58,-58,-58,-58,-59,-59,-60,-61,-62,-62,-63,-63,-63,-63,-64,-64,-64,-64,-65,-65,-66,-67,-67,-67,-67,-67,-67,-68,-69,-70,-71,-71,-71,-71,-71,-72,-73,-73,-73,-74,-74,-74,-74,-74,-74,-75,-75,-76,-76,-77,-78,-78,-78,-78,-78,-79,-79,-79,-79,-79,-79,-80,-80,-81,-81,-81,-82,-82,-83,-83,-83,-83,-83,68.407646,177.94244,0
-47,-52,-54,-54,-54,-54,-59,-61,-66,-69,-76,-77,-77,-77,-77,-77,-78,-78,-78,-78,-78,-79,-79,-79,-79,-79,-79,-80,-80,-80,-80,-80,-80,-80,-80,-81,-81,-81,-81,-81,-82,-82,-82,-82,-83,-84,-84,-84,-84,-84,-85,-85,-85,-86,-86,-86,-86,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-88,-88,-88,-88,-89,-91,-92,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,141.92305,82.46128,0
-54,-54,-54,-55,-56,-66,-67,-68,-72,-74,-74,-76,-76,-77,-77,-77,-77,-78,-78,-78,-78,-79,-79,-79,-79,-80,-80,-80,-80,-80,-80,-80,-80,-81,-81,-81,-81,-81,-81,-82,-82,-82,-83,-84,-84,-84,-84,-85,-85,-85,-86,-86,-86,-86,-86,-86,-86,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-88,-88,-88,-88,-89,-91,-92,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,141.92305,82.46128,0
-54,-56,-65,-66,-67,-71,-71,-71,-73,-74,-76,-76,-77,-77,-78,-78,-78,-78,-78,-79,-79,-79,-79,-79,-80,-80,-80,-80,-80,-80,-80,-80,-80,-81,-81,-81,-81,-81,-81,-82,-82,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-86,-86,-86,-86,-86,-86,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-88,-88,-88,-88,-89,-89,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,142.00758,87.245865,0
-54,-66,-66,-67,-67,-69,-71,-71,-72,-74,-76,-76,-76,-76,-77,-78,-78,-78,-78,-78,-79,-79,-79,-80,-80,-80,-80,-80,-80,-80,-80,-81,-81,-81,-81,-81,-81,-81,-81,-82,-84,-84,-84,-85,-85,-85,-85,-86,-86,-86,-86,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-88,-88,-88,-88,-89,-89,-89,-89,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,142.00758,87.245865,0
-54,-66,-66,-70,-70,-70,-71,-73,-74,-74,-75,-76,-76,-77,-78,-78,-78,-79,-79,-79,-80,-80,-80,-80,-80,-80,-80,-80,-81,-81,-81,-81,-81,-81,-82,-82,-83,-84,-84,-84,-85,-86,-86,-86,-86,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-88,-88,-88,-88,-89,-89,-89,-90,-92,-92,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,142.00758,87.245865,0
-66,-66,-67,-70,-70,-73,-73,-74,-75,-76,-76,-77,-78,-78,-78,-79,-79,-79,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-81,-81,-81,-81,-81,-81,-81,-82,-82,-83,-84,-84,-84,-85,-86,-86,-86,-87,-87,-87,-87,-87,-87,-87,-87,-87,-88,-88,-88,-88,-88,-89,-89,-89,-89,-90,-92,-92,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,142.00758,87.245865,0
-63,-69,-70,-70,-70,-73,-75,-75,-76,-77,-78,-78,-78,-79,-80,-80,-80,-80,-80,-80,-80,-80,-81,-81,-81,-81,-81,-81,-81,-81,-81,-82,-83,-84,-84,-84,-84,-85,-85,-86,-86,-86,-87,-87,-87,-87,-87,-87,-87,-87,-87,-88,-88,-88,-88,-88,-88,-89,-89,-89,-89,-89,-92,-92,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,143.19424,92.36531,0
